date,slot,load_forecast_kW,pv_forecast_kW,support_start_slot,support_end_slot,support_valid,support_defined
2025-01-03,60,7053.4551,4491.6281,0,143,0,True
2025-01-03,61,7028.7906,4766.409,0,143,0,True
2025-01-03,62,7115.54,5019.45,0,143,0,True
2025-01-03,63,7158.8016,5019.8625,0,143,0,True
2025-01-03,64,7104.1648,5077.3715,0,143,0,True
2025-01-03,65,6988.45,5277.5625,0,143,0,True
2025-01-03,66,6905.2356,5389.699,0,143,0,True
2025-01-03,67,6918.8526,5368.919,0,143,0,True
2025-01-03,68,7053.45,5329.9875,0,143,0,True
2025-01-03,69,7224.2372,5412.6331,0,143,0,True
2025-01-03,70,7061.4737,5429.3182,0,143,0,True
2025-01-03,71,6627.88,5328.3,0,143,0,True
2025-01-03,72,6385.5315,5248.9495,0,143,0,True
2025-01-03,73,6379.3415,5219.2319,0,143,0,True
2025-01-03,74,6517.08,5222.85,0,143,0,True
2025-01-03,75,6677.4158,5242.2942,0,143,0,True
2025-01-03,76,6740.259,5308.1571,0,143,0,True
2025-01-03,77,6776.29,5393.2875,0,143,0,True
2025-01-03,78,6923.5069,5413.5261,0,143,0,True
2025-01-03,79,6851.0971,5337.3076,0,143,0,True
2025-01-03,80,6622.15,5168.2125,0,143,0,True
2025-01-03,81,6654.8176,4960.5615,0,143,0,True
2025-01-03,82,6745.2794,4873.504,0,143,0,True
2025-01-03,83,6768.73,4791.45,0,143,0,True
2025-01-03,84,6785.5204,4440.5059,0,143,0,True
2025-01-03,85,6651.4681,4102.9755,0,143,0,True
2025-01-03,86,6519.73,3897.7875,0,143,0,True
2025-01-03,87,6699.3894,3672.4272,0,143,0,True
2025-01-03,88,6745.2289,3411.625,0,143,0,True
2025-01-03,89,6621.14,3140.175,0,143,0,True
2025-01-03,90,6686.5383,2878.1578,0,143,0,True
2025-01-03,91,6510.334,2617.8995,0,143,0,True
2025-01-03,92,6220.79,2359.9875,0,143,0,True
2025-01-03,93,6406.2703,2119.3514,0,143,0,True
2025-01-03,94,6474.5982,1904.7231,0,143,0,True
2025-01-03,95,6290.24,1662.6,0,143,0,True
2025-01-03,96,6307.331,1326.1056,0,143,0,True
2025-01-03,97,6312.2172,1011.5001,0,143,0,True
