strategy_id,date,issue_time,slot,start_time,end_time,price_yuan_kWh,load_kW,pv_kW,load_forecast_kW,pv_forecast_kW,net_forecast_kWh,residual_adjustment_kWh,protected_net_kWh,theta,theta_preset,residual_days,fallback_reason,planned_kWh,charge_kWh,discharge_kWh,emergency_kWh,unused_kWh,state_start_kWh,state_end_kWh,nominal_state_end_kWh,planned_cost_yuan,emergency_cost_yuan
G2_lightgbm_gate,2025-03-18,2025-03-18,75,2025-03-18 12:30:00,2025-03-18 12:40:00,0.4113,5785.0136,7606.1729,5934.458388200639,7530.725926116872,-266.04458965270544,75.7986722156173,-190.24591743708814,0.80,0.80,28,,643.0874158962451,833.3333333333333,0.0,0.0,113.2806325629117,9166.119569999999,9916.119569999999,9596.629460294182,264.50185415812564,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,76,2025-03-18 12:40:00,2025-03-18 12:50:00,0.5682,5954.1481,7603.6435,6091.599254082014,7356.371808465427,-210.79542573056884,102.24740151625596,-108.54802421431287,0.80,0.80,28,,724.7853091190204,833.3333333333333,0.0,0.0,166.36787578568715,9916.119569999999,10666.119569999999,10346.629460294182,411.82301264142745,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,77,2025-03-18 12:50:00,2025-03-18 13:00:00,0.8279,6285.72,7822.0875,6280.721213281011,7204.008436797475,-153.88120391941067,89.36280030136413,-64.51840361804653,0.80,0.80,28,,0.0,148.75603333333453,0.0,0.0,107.30521666666533,10666.119569999999,10800.0,10404.696023550423,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,78,2025-03-18 13:00:00,2025-03-18 13:10:00,0.8636,6394.9526,7790.9036,6321.871103105146,7021.355861762124,-116.58079310949627,67.7947213138653,-48.786071795630974,0.80,0.80,28,,0.0,0.0,0.0,0.0,232.6585,10800.0,10800.0,10448.603488166491,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,79,2025-03-18 13:10:00,2025-03-18 13:20:00,0.8416,6310.1645,7498.358,6298.555803873614,6983.554761762123,-114.16649298141813,77.59692596405228,-36.569567017365856,0.80,0.80,28,,0.0,0.0,0.0,0.0,198.03225000000003,10800.0,10800.0,10481.51609848212,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,80,2025-03-18 13:20:00,2025-03-18 13:30:00,0.8618,6207.18,7188.525,6294.115132043553,6956.485756852917,-110.395104134894,76.25915409429263,-34.13595004060137,0.80,0.80,28,,0.0,0.0,0.0,0.0,163.5574999999999,10800.0,10800.0,10512.238453518661,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,81,2025-03-18 13:30:00,2025-03-18 13:40:00,0.8623,6230.6908,7113.5937,6215.498825526134,6869.828056852916,-109.054871887797,58.36684788046659,-50.68802400733042,0.80,0.80,28,,0.0,0.0,0.0,0.0,147.15048333333334,10800.0,10800.0,10557.857675125259,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,82,2025-03-18 13:40:00,2025-03-18 13:50:00,0.9026,6247.5296,7027.3315,6236.2149108856265,6790.898956852917,-92.44734099454838,56.19602575647059,-36.251315238077794,0.80,0.80,28,,0.0,0.0,0.0,0.0,129.9669833333334,10800.0,10800.0,10590.483858839529,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,83,2025-03-18 13:50:00,2025-03-18 14:00:00,0.9754,6187.66,6747.0,6309.62639792645,6335.942372935139,-4.385995834781473,60.03492825478482,55.64893242000335,0.80,0.80,28,,0.0,0.0,0.0,0.0,93.22333333333336,10800.0,10800.0,10528.651711706192,0.0,0.0
G2_lightgbm_gate,2025-03-18,2025-03-18,84,2025-03-18 14:00:00,2025-03-18 14:10:00,1.0002,6132.0209,6332.0096,6161.403068564075,6140.728997325886,3.4456785396981404,54.44984925791982,57.895527797617966,0.80,0.80,28,,0.0,0.0,0.0,0.0,33.331449999999975,10800.0,10800.0,10464.323347486617,0.0,0.0
