date,B0,B1,B2,B1_minus_B0,B2_minus_B1
2025-04-13,37545.6051571936,36734.320997484174,36312.572797647976,-811.284159709423,-421.7481998361982
2025-04-14,37396.20469886388,39723.01845300674,37161.918583335035,2326.8137541428587,-2561.099869671707
2025-04-15,36907.42404367014,38530.733900251274,35274.08589724905,1623.3098565811379,-3256.6480030022212
2025-04-16,37054.117791411234,37742.980206704124,37999.82838039298,688.8624152928896,256.84817368885706
2025-04-17,36997.545765133436,35447.50708750287,36932.661645558976,-1550.0386776305677,1485.154558056107
2025-04-18,13619.162046842766,13653.521236888204,13535.884540453022,34.35919004543757,-117.63669643518188
2025-04-19,13575.911141508079,12996.703238496928,13785.354599808825,-579.2079030111508,788.6513613118968
2025-04-20,36414.062555278906,35098.72887792249,35507.097604503295,-1315.3336773564151,408.3687265808039
2025-04-21,36603.36952558463,37289.391837453826,35137.74020495067,686.0223118691938,-2151.6516325031553
2025-04-22,34812.6105375055,33942.250932143375,35480.962855882244,-870.3596053621222,1538.7119237388688
2025-04-23,36089.338321793744,37315.54319873888,34699.99404939036,1226.2048769451358,-2615.549149348517
2025-04-24,35952.0026888164,34092.4661062293,34426.72218143468,-1859.5365825870977,334.25607520537596
2025-04-25,12875.145832161856,13228.802848999,12921.064032930302,353.6570168371436,-307.7388160686969
2025-04-26,13079.567321190525,13220.782343398681,13345.656247154388,141.21502220815637,124.87390375570612
2025-04-27,37461.05194783877,35087.64377324742,33951.62866053151,-2373.40817459135,-1136.0151127159115
2025-04-28,51347.71799585862,39981.646484041696,39362.27148801925,-11366.071511816925,-619.374996022445
2025-04-29,35800.400511843254,34666.22532665636,34734.476919369015,-1134.1751851868976,68.25159271265875
2025-04-30,34943.993709094684,33165.99660703446,32433.999697976426,-1777.9971020602243,-731.9969090580344
2025-05-01,46333.41716747659,45145.78221589161,44120.60022051055,-1187.6349515849797,-1025.1819953810627
2025-05-02,25556.900040676508,20327.1802729335,21303.591773699227,-5229.719767743009,976.4115007657274
2025-05-03,20204.857381290145,20472.41571927374,20410.59726153481,267.55833798359527,-61.81845773892928
2025-05-04,44490.126415405924,43739.2198940855,42738.49605600678,-750.906521320423,-1000.7238380787239
2025-05-05,41010.737410025446,41586.414034658796,40198.22405915678,575.67662463335,-1388.189975502013
2025-05-06,39934.76604230761,36652.174642315,37282.5387364909,-3282.591399992605,630.3640941758931
