供应商ID,材料类别,CRITIC贴近度,CRITIC排名,熵权贴近度,熵权排名,排名差
S104,A,0.2775467224006777,307,0.01832980465190266,307,0
S320,C,0.27532400732408496,308,0.018037350083558067,309,-1
S156,A,0.2732700253118565,309,0.017790343430621244,311,-2
S371,B,0.27300661978288515,310,0.01783743677060479,310,0
S020,C,0.2726468836224522,311,0.017711572123412456,312,-1
S008,C,0.2715629734785712,312,0.01757999276898403,313,-1
S243,A,0.27131669929515967,313,0.017549415954842374,314,-1
S185,A,0.26980166341075656,314,0.01737879803574691,315,-1
S001,B,0.26906955361063284,315,0.01727915149855243,316,-1
S015,A,0.2677559419544779,316,0.01827392338421408,308,8
S101,A,0.2669075889146568,317,0.017034487500808056,317,0
S355,C,0.26579174545245243,318,0.016974655319068544,318,0
S164,C,0.2645825208105519,319,0.016758852524841338,319,0
S372,A,0.26441047047969324,320,0.016751118619033393,320,0
S278,A,0.26268473798341135,321,0.016509572150030592,323,-2
S350,A,0.2626467020923539,322,0.016527863885754883,322,0
S103,C,0.2625918673303945,323,0.01657238337104379,321,2
S290,C,0.2581405940194728,324,0.016037337808763666,327,-3
S047,B,0.257369246641154,325,0.016085061308378088,325,0
S228,C,0.25732360658760034,326,0.016056099069353538,326,0
S181,A,0.25582796116968765,327,0.01566739440248741,328,-1
S135,C,0.2542728031872819,328,0.015651082593150432,329,-1
S062,A,0.2526663539934596,329,0.01541290772636267,330,-1
S302,A,0.2525741139028152,330,0.01527552870802248,331,-1
S043,A,0.2524593952595035,331,0.01522641707851741,332,-1
S177,C,0.25166768149816104,332,0.015117185836968835,333,-1
S063,C,0.25142512603791667,333,0.01511264119845627,334,-1
S029,B,0.25123506672202917,334,0.015089041794269818,335,-1
S004,B,0.2511344208978454,335,0.015062576158259518,336,-1
S289,A,0.2503913401174522,336,0.015002163518504499,337,-1
S396,A,0.2497765306338871,337,0.014897298460853237,338,-1
S084,C,0.24685113377347725,338,0.01451663461495028,339,-1
S148,A,0.24656897482795576,339,0.014487721270745631,340,-1
S058,B,0.2459907014107514,340,0.014385335993873044,341,-1
S045,B,0.24373604056644024,341,0.014082559677040718,342,-1
S276,B,0.24276293939544297,342,0.013973707907941404,343,-1
S153,B,0.24001650782167186,343,0.0137975110515773,344,-1
S022,A,0.23976631129200587,344,0.013615901575682102,347,-3
S285,A,0.23968031931941278,345,0.013768464839612053,345,0
S160,C,0.23951168693055191,346,0.01625537601846111,324,22
S317,A,0.2395019290427346,347,0.013522282858218068,348,-1
S051,A,0.23916317214065358,348,0.013618792109595901,346,2
S130,A,0.23769281323836558,349,0.013278158283009633,349,0
S077,B,0.23700849188212775,350,0.013265542660494649,351,-1
S390,B,0.235442420696556,351,0.012990441888698643,353,-2
S093,A,0.23468399717805294,352,0.012921073940415785,354,-2
S246,C,0.23362374682004997,353,0.013267739771487635,350,3
S038,A,0.23336340252709814,354,0.012671596185894463,357,-3
S137,B,0.2332753073812685,355,0.012840647341659966,355,0
S006,C,0.23319895813147545,356,0.012672921301314219,356,0
S168,B,0.23287007337506438,357,0.012670931850956307,358,-1
S257,C,0.23131056736984468,358,0.01239042722530074,360,-2
S262,C,0.2312136713569162,359,0.012413378667630133,359,0
S161,C,0.22985852097465834,360,0.013264013316513822,352,8
S192,C,0.22861647680884709,361,0.012032258603438421,361,0
S068,C,0.22740621850983267,362,0.011835839523536548,362,0
S125,B,0.22643926870556774,363,0.011697425429533843,363,0
S198,A,0.22513609064885548,364,0.011509360403397792,364,0
S375,B,0.22339464770744716,365,0.011298675112613584,365,0
S400,B,0.22338841303600196,366,0.011265872761806168,366,0
S009,B,0.22075825978122504,367,0.010860543248908278,367,0
S119,A,0.2186682937546261,368,0.01052515830112697,370,-2
S387,B,0.21839819578970399,369,0.010574708328495363,368,1
S373,A,0.21787491522724217,370,0.010427636383142815,371,-1
S321,B,0.21709556703022273,371,0.010386486913523021,372,-1
S183,C,0.2163336607767217,372,0.010546353386396338,369,3
S179,B,0.21479331905885932,373,0.009932220882458334,373,0
S241,C,0.2140838803595645,374,0.00982794701097066,375,-1
S297,C,0.21321190217755479,375,0.009928477763461903,374,1
S344,B,0.211982751909364,376,0.00947531638895226,377,-1
S019,B,0.211852458590666,377,0.009488951133691812,376,1
S095,B,0.21175213971488419,378,0.009410193753079802,378,0
S231,C,0.21005819777049298,379,0.009328561768364612,379,0
S144,A,0.20965362144182395,380,0.009132080033069777,381,-1
S204,A,0.20891100100542234,381,0.009184356075915294,380,1
S012,A,0.20829755129883565,382,0.008841374035003517,382,0
S277,C,0.20753728213992578,383,0.008787680048721902,383,0
S215,B,0.20705558139967334,384,0.008678285972636151,384,0
S190,B,0.2066682514315639,385,0.008637505683353785,385,0
S394,A,0.20381663906084427,386,0.008240142490191787,386,0
S293,A,0.19724754007450615,387,0.007051542679514515,387,0
S283,A,0.1969847528375824,388,0.006729228620025348,389,-1
S212,C,0.1966796975279074,389,0.006729816057261035,388,1
S034,C,0.19620600507007518,390,0.00667235570638245,390,0
S343,C,0.19468755716557035,391,0.006485056226396844,391,0
S100,C,0.19392649165671857,392,0.0061758309412989,392,0
S328,B,0.19376163467810292,393,0.006062581418199577,393,0
S162,C,0.19126430870873115,394,0.005555903081440124,394,0
S287,B,0.19084824808694173,395,0.0055198799369905165,395,0
S071,A,0.19034529937231606,396,0.0054937514683717215,396,0
S251,A,0.18803543216828897,397,0.00496210198130885,397,0
S334,C,0.1856724936236723,398,0.00458855403552513,398,0
S240,B,0.18508072801801725,399,0.003992648092708635,399,0
S402,B,0.18247136989459042,400,0.0033483902681859593,400,0
S238,B,0.1793929099991061,401,0.0025247513590675565,401,0
S393,B,0.17634248194350083,402,0.0019181752446828626,402,0
