strategy_id,hour,load_mae,pv_mae,net_mae,net_bias
R2_pv_ridge,19,187.3618505489022,9.38572051591384,188.7056056766988,8.442620366213246
R2_pv_ridge,20,193.72799675648702,3.9506013312774306,194.4168975298735,3.0555710418562767
R2_pv_ridge,21,194.772645508982,3.987808077627969,194.94436393486933,2.295122748286652
R2_pv_ridge,22,195.30184466067863,7.7670889682660995,195.61786117315373,6.743670854493641
R2_pv_ridge,23,188.02752824351296,12.759590219603433,187.61754954526404,10.405001796449737
R3_both_ridge,0,150.6747363909671,12.230442474160414,150.52091859087352,19.33615743950421
R3_both_ridge,1,152.00944048854484,6.86192757198302,152.39325288601117,15.63944811949517
R3_both_ridge,2,144.68787960579996,3.762265399323144,144.78844247739497,13.843395334550848
R3_both_ridge,3,142.30762993851832,4.1255073016663975,142.23353310589894,14.455933157257835
R3_both_ridge,4,140.9971323298617,11.986168251581512,142.101220086607,21.98028067158367
R3_both_ridge,5,143.2149415939479,36.326387343948404,147.21040056766432,31.518660765299916
R3_both_ridge,6,144.85714785869519,90.73703525761532,171.68952543395235,20.46434987861725
R3_both_ridge,7,145.28633132881515,180.4663631222623,235.93941059989032,7.269511011144407
R3_both_ridge,8,142.4962876839245,281.3804525635047,320.56548056063326,7.66912772875405
R3_both_ridge,9,141.3601211968138,378.9358139403414,409.0755508411389,11.054684467981312
R3_both_ridge,10,138.65429141238582,440.83903639034025,463.4671626265418,20.399387618984523
R3_both_ridge,11,145.1725514248209,479.3382824379863,502.066738264794,21.017744760822083
R3_both_ridge,12,141.46332864313376,480.2988540927819,508.5216956444039,14.093403944334169
R3_both_ridge,13,146.90830024250224,402.22407716446145,439.2899385358855,12.635468423572732
R3_both_ridge,14,152.64867888334237,342.3813935888074,384.06373312552597,4.855135952716086
R3_both_ridge,15,154.79328962559546,259.6345284671306,308.28328157372044,0.8085805510471912
R3_both_ridge,16,157.22949768283564,156.56239327482086,225.1075827292387,5.280169393903916
R3_both_ridge,17,159.7593098523125,75.62270777362161,169.33852368632674,19.144341033272873
R3_both_ridge,18,158.16502665586918,30.182420517425143,158.22580323029993,25.57203330897061
R3_both_ridge,19,157.02055108647713,9.38572051591384,157.48793566023446,11.32517973759471
R3_both_ridge,20,160.06615745938473,3.9506013312774306,160.25174719541118,6.636727539627276
R3_both_ridge,21,160.69460514369888,3.987808077627969,160.93826585029112,6.602735445623846
R3_both_ridge,22,162.46103408588831,7.7670889682660995,162.9033491907244,8.107583515566256
R3_both_ridge,23,157.66846721844323,12.759590219603433,157.83711614676375,16.748586672321938
