date,horizon,max_cumulative_underestimate_kWh,total_cumulative_underestimate_kWh,slots,start_slot
2025-04-19,1h,590.0727833333332,11531.088666666663,6,56
2025-04-19,4h,1441.013183333333,26256.032549999996,24,39
2025-04-20,1h,399.8592833333336,10272.567633333329,6,82
2025-04-20,4h,703.621433333333,20485.45126666667,24,64
2025-04-21,1h,464.5639333333332,5902.493649999997,6,59
2025-04-21,4h,251.0115499999996,2938.6841666666573,24,120
2025-04-22,1h,1570.3415499999999,32088.301116666662,6,72
2025-04-22,4h,4186.36045,117062.58798333332,24,69
2025-04-23,1h,512.0860666666663,6266.810833333337,6,66
2025-04-23,4h,354.4517500000004,3474.093700000004,24,64
2025-04-24,1h,485.76975000000004,6195.2782166666675,6,58
2025-04-24,4h,203.55285000000077,2079.8630500000127,24,95
2025-04-25,1h,842.9258000000005,12201.13226666667,6,77
2025-04-25,4h,990.9953666666672,30507.06711666669,24,76
2025-04-26,1h,998.25945,19020.83825,6,87
2025-04-26,4h,2704.0158166666665,53120.17681666665,24,83
2025-04-27,1h,954.1521666666663,23881.832616666667,6,64
2025-04-27,4h,2378.90615,82962.11424999998,24,48
2025-04-28,1h,2193.885533333333,48726.13501666667,6,69
2025-04-28,4h,6131.681283333333,179866.38868333335,24,53
2025-04-29,1h,274.23203333333333,2552.7911166666677,6,93
2025-04-29,4h,276.67129999999986,2303.9125000000013,24,93
2025-04-30,1h,1247.8020666666669,19576.003516666668,6,61
2025-04-30,4h,2477.6770333333334,55001.96458333332,24,56
2025-05-01,1h,854.2927,35644.35846666667,6,50
2025-05-01,4h,2097.9555499999997,102034.72298333335,24,95
2025-05-02,1h,1774.9203833333336,70650.33836666668,6,71
2025-05-02,4h,5604.148283333335,270128.71845000004,24,63
2025-05-03,1h,594.4955166666666,13742.397700000001,6,125
2025-05-03,4h,1715.0508,37407.33731666666,24,109
2025-05-04,1h,650.3605166666666,23358.75803333333,6,64
2025-05-04,4h,1881.7195666666669,53007.1028,24,110
2025-05-05,1h,1159.5091,47317.202733333324,6,43
2025-05-05,4h,3604.6016333333328,150473.12413333327,24,39
2025-05-06,1h,612.7421666666669,21504.286,6,131
2025-05-06,4h,1832.0330999999996,56520.91739999999,24,111
2025-05-07,1h,764.6801499999996,38444.238566666674,6,87
2025-05-07,4h,2470.307216666667,126496.79613333335,24,86
2025-05-08,1h,1135.6537,21255.467399999998,6,72
2025-05-08,4h,2648.1943499999998,65904.46204999999,24,64
2025-05-09,1h,427.09058333333337,10734.578166666666,6,49
2025-05-09,4h,929.7153500000003,24491.137033333333,24,43
2025-05-10,1h,1382.5087333333333,24255.90586666666,6,77
2025-05-10,4h,2308.9752999999987,78545.97624999999,24,73
2025-05-11,1h,390.96138333333283,7825.720699999996,6,66
2025-05-11,4h,368.9450500000005,5143.438566666666,24,8
2025-05-12,1h,1207.5725499999999,14677.84371666667,6,73
2025-05-12,4h,754.2805333333336,10279.081233333342,24,94
2025-05-13,1h,1027.5919500000002,22001.015099999993,6,59
2025-05-13,4h,3095.8516333333328,61841.609016666654,24,41
2025-05-14,1h,390.5837833333334,7657.0272333333305,6,79
2025-05-14,4h,542.2465833333331,9324.538033333327,24,62
2025-05-15,1h,826.6593666666665,14036.801449999999,6,87
2025-05-15,4h,1714.2454666666672,37929.37538333333,24,81
2025-05-16,1h,348.9673833333334,3766.009250000002,6,137
2025-05-16,4h,610.3996333333337,2436.0659666666697,24,120
2025-05-17,1h,2059.7546999999995,48935.6468,6,67
2025-05-17,4h,5135.137066666666,185681.66693333333,24,66
2025-05-18,1h,913.4503000000002,14986.863650000003,6,46
2025-05-18,4h,1552.5595666666663,27624.784166666668,24,29
2025-05-19,1h,376.19821666666667,5643.856916666663,6,54
2025-05-19,4h,352.669533333333,2941.340199999996,24,120
2025-05-20,1h,2071.2290333333335,45365.26343333334,6,71
2025-05-20,4h,6161.236616666666,163478.03841666668,24,69
2025-05-21,1h,653.5881666666662,10787.623166666664,6,58
2025-05-21,4h,631.4230333333335,12570.930600000002,24,44
2025-05-22,1h,724.5499833333331,14498.951749999993,6,72
2025-05-22,4h,1139.9590166666665,24170.86764999999,24,66
2025-05-23,1h,823.2885000000002,12972.050416666665,6,77
2025-05-23,4h,1592.6855333333333,32849.17243333334,24,74
2025-05-24,1h,709.1356500000002,9314.581099999998,6,51
2025-05-24,4h,1196.3308499999998,17924.393166666665,24,37
