strategy_id,predictor_id,alpha,samples,coverage,mean_adjustment_kWh,scope
L_q70,lightgbm,0.7,4320,0.7087962962962963,43.72679472987643,2025-06
L_q70,lightgbm,0.7,4464,0.6890681003584229,25.436370725880025,2025-07
L_q70,lightgbm,0.7,4464,0.6845878136200717,13.556878046590203,2025-08
L_q70,lightgbm,0.7,4320,0.6606481481481481,22.087800153232727,2025-09
L_q70,lightgbm,0.7,4464,0.683915770609319,29.571971436065347,2025-10
L_q70,lightgbm,0.7,4320,0.7243055555555555,28.31443238821521,2025-11
L_q70,lightgbm,0.7,4464,0.7215501792114696,25.418006042622878,2025-12
L_q75,lightgbm,0.75,48096,0.7228667664670658,31.214510995791137,
L_q75,lightgbm,0.75,4032,0.7309027777777778,17.914975688335865,2025-02
L_q75,lightgbm,0.75,4464,0.6859318996415771,22.65570312115911,2025-03
L_q75,lightgbm,0.75,4320,0.7175925925925926,33.47499704324344,2025-04
L_q75,lightgbm,0.75,4464,0.7107974910394266,42.84139627011272,2025-05
L_q75,lightgbm,0.75,4320,0.7430555555555556,50.343094586268194,2025-06
L_q75,lightgbm,0.75,4464,0.7206541218637993,31.598849920657976,2025-07
L_q75,lightgbm,0.75,4464,0.7179659498207885,20.10530544261848,2025-08
L_q75,lightgbm,0.75,4320,0.7,28.3949569720696,2025-09
L_q75,lightgbm,0.75,4464,0.7204301075268817,33.97568596347255,2025-10
L_q75,lightgbm,0.75,4320,0.7560185185185185,31.931394541168043,2025-11
L_q75,lightgbm,0.75,4464,0.7497759856630825,29.45835150902298,2025-12
L_q85,lightgbm,0.85,48096,0.8258898868928809,49.84209049110989,
L_q85,lightgbm,0.85,4032,0.8373015873015873,32.3841610718304,2025-02
L_q85,lightgbm,0.85,4464,0.7892025089605734,38.89952645907711,2025-03
L_q85,lightgbm,0.85,4320,0.8231481481481482,50.92036224065763,2025-04
L_q85,lightgbm,0.85,4464,0.8086917562724014,63.25925433529295,2025-05
L_q85,lightgbm,0.85,4320,0.8337962962962963,74.21381675637436,2025-06
L_q85,lightgbm,0.85,4464,0.8210125448028673,55.07530809430196,2025-07
L_q85,lightgbm,0.85,4464,0.8185483870967742,43.266051052777584,2025-08
L_q85,lightgbm,0.85,4320,0.8210648148148149,51.37225910760847,2025-09
L_q85,lightgbm,0.85,4464,0.8393817204301075,49.814818767560304,2025-10
L_q85,lightgbm,0.85,4320,0.8553240740740741,44.758581716218735,2025-11
L_q85,lightgbm,0.85,4464,0.8393817204301075,43.315722561753965,2025-12
L_q90,lightgbm,0.9,48096,0.8953759148369926,67.99377890527286,
L_q90,lightgbm,0.9,4032,0.904265873015873,45.73308313786653,2025-02
L_q90,lightgbm,0.9,4464,0.8637992831541219,55.65887325156553,2025-03
L_q90,lightgbm,0.9,4320,0.8895833333333333,67.13624473225332,2025-04
L_q90,lightgbm,0.9,4464,0.8808243727598566,81.36985959960901,2025-05
L_q90,lightgbm,0.9,4320,0.899537037037037,99.17879577825643,2025-06
L_q90,lightgbm,0.9,4464,0.8911290322580645,80.34095753357961,2025-07
L_q90,lightgbm,0.9,4464,0.8931451612903226,64.48065120785915,2025-08
L_q90,lightgbm,0.9,4320,0.8953703703703704,73.03187277109218,2025-09
L_q90,lightgbm,0.9,4464,0.9081541218637993,65.2928859096145,2025-10
L_q90,lightgbm,0.9,4320,0.9180555555555555,56.79720187588514,2025-11
L_q90,lightgbm,0.9,4464,0.9068100358422939,57.53652642603863,2025-12
