a_pv_n,a_pv_mae,a_pv_rmse,a_pv_bias,a_net_n,a_net_mae,a_net_rmse,a_net_bias,b_pv_n,b_pv_mae,b_pv_rmse,b_pv_bias,b_net_n,b_net_mae,b_net_rmse,b_net_bias,delta_pv_mae_kW,delta_pv_bias_kW,delta_net_mae_kWh,delta_net_bias_kWh,a_coverage,a_mean_shortfall_kWh,a_mean_surplus_kWh,a_mean_rho_kWh,a_protected_bias_kWh,b_coverage,b_mean_shortfall_kWh,b_mean_surplus_kWh,b_mean_rho_kWh,b_protected_bias_kWh,delta_protected_bias_kWh,pair,group_type,month
2190,174.26481414003047,323.77122242652376,-83.1297280821918,2190,58.265624398846555,77.9351217998689,-33.904664517386045,2190,94.93009897260275,178.31867579931955,-57.02263876712328,2190,47.90701909333628,62.51781025882414,-29.553482964874622,-79.33471516742772,26.10708931506852,-10.358605305510274,4.351181552511424,0.7831050228310502,7.3824077312833305,60.25359900727181,18.966526758602434,52.87119127598848,0.7662100456621005,6.605308987500483,46.106253017979085,9.947461065603981,39.50094403047861,-13.370247245509873,12:00_vs_06:00,month,2025-09
2263,157.96224782000294,304.03480997730384,-34.7121656650464,2263,38.58457184851753,55.8192559260787,-2.42908808289471,2263,97.39017144645752,178.84451081184073,-38.632563013698636,2263,28.548008478406345,37.87053470203733,-3.0824876410034157,-60.57207637354543,-3.920397348652237,-10.036563370111182,-0.6533995581087058,0.7445868316394167,6.623913400439402,38.895187938182424,29.842186454848306,32.27127453774302,0.7525408749447636,4.608048382213616,29.231547284275308,21.541011261058276,24.62349890206169,-7.647775635681327,12:00_vs_06:00,month,2025-10
2190,137.1267199543379,254.4773926932463,-69.656510913242,2190,33.48145230676628,47.365399904282256,-5.217394288111476,2190,81.33946589041096,149.17311796899457,-52.98070872146119,2190,24.12198324127712,32.180968581234154,-2.438093922814673,-55.78725406392692,16.67580219178081,-9.359469065489158,2.7793003652968027,0.8168949771689498,3.534430941723299,43.273245597564866,34.521420367730094,39.738814655841566,0.8182648401826484,2.7159985666222197,28.787388776498528,23.633296287061636,26.071390209876306,-13.66742444596526,12:00_vs_06:00,month,2025-11
2263,91.31381291795552,195.86615936295516,-53.024939991162185,2263,28.02097877070457,39.668545847191446,-5.87782656929829,2263,62.348944424804834,124.19306801400312,-48.16660371188687,2263,23.584618393783558,31.083394946136114,-5.068103856085737,-28.964868493150682,4.8583362792753135,-4.436360376921012,0.8097227132125528,0.8091029606716748,3.440036373625156,34.10377902045834,24.785916077534896,30.663742646833178,0.8130799823243482,2.891558485541205,28.694889159502143,20.735226817875205,25.80333067396094,-4.860411972872239,12:00_vs_06:00,month,2025-12
12358,7.348108690726655,32.005278828338454,3.994867179155203,12358,25.53818160175125,34.41043968379034,0.7775443379670377,12358,7.3478704995414565,32.00466689610285,3.9955352969736206,12358,25.538111202459746,34.41031024843697,0.777655690936774,-0.00023819118519874394,0.0006681178184178016,-7.039929150565172e-05,0.00011135296973630027,0.7905810001618385,4.064890002813539,29.481436144150198,26.194090479303696,25.41654614133666,0.7905810001618385,4.064887412835836,29.48131367029161,26.194081948392544,25.41642625745577,-0.00011988388088823854,18:00_vs_12:00,,
1036,0.011676640926640926,0.10242996326523492,-0.011676640926640926,1036,16.468144997279985,20.847167758976887,-0.32255481064263025,1036,0.011676640926640926,0.10242996326523492,-0.011676640926640926,1036,16.468144997279985,20.847167758976887,-0.32255481064263025,0.0,0.0,0.0,0.0,0.8001930501930502,2.567958810212897,20.572008940956515,17.681495320100986,18.004050130743618,0.8001930501930502,2.567958810212897,20.572008940956515,17.681495320100986,18.004050130743618,0.0,18:00_vs_12:00,month,2025-02
1147,1.4580522667829119,8.860690038902563,1.218302179598954,1147,17.76812375338319,22.335749468183547,6.884443105103805,1147,1.4580522667829119,8.860690038902563,1.218302179598954,1147,17.76812375338319,22.335749468183547,6.884443105103805,0.0,0.0,0.0,0.0,0.7759372275501307,3.189656473138562,19.73304044438764,23.427827076352884,16.54338397124908,0.7759372275501307,3.189656473138562,19.73304044438764,23.427827076352884,16.54338397124908,0.0,18:00_vs_12:00,month,2025-03
1110,19.754537177177177,58.168399559579704,17.447262162162165,1110,18.105048136121514,22.8719309233033,3.823690133451286,1110,19.754537177177177,58.168399559579704,17.447262162162165,1110,18.105048136121514,22.8719309233033,3.823690133451286,0.0,0.0,0.0,0.0,0.7927927927927928,2.612309627934407,21.277006203944868,22.488386709461746,18.66469657601046,0.7927927927927928,2.612309627934407,21.277006203944868,22.488386709461746,18.66469657601046,0.0,18:00_vs_12:00,month,2025-04
1147,13.2759980528916,40.03978791456401,7.041783173496078,1147,32.88164270993558,42.20126216830223,16.514465554803593,1147,13.2759980528916,40.03978791456401,7.041783173496078,1147,32.88164270993558,42.20126216830223,16.514465554803593,0.0,0.0,0.0,0.0,0.7323452484742807,8.116819364238392,33.88096180991254,42.278608000477746,25.76414244567415,0.7323452484742807,8.116819364238392,33.88096180991254,42.278608000477746,25.76414244567415,0.0,18:00_vs_12:00,month,2025-05
1110,7.897385795795794,24.406996899859266,-5.1510135135135116,1110,32.185107377447395,40.986306651571475,4.617791423382422,1110,7.89473165165165,24.398058247806492,-5.143570810810809,1110,32.18432431938933,40.98509821747416,4.61903187383287,-0.0026541441441434444,0.0074427027027024195,-0.0007830580580616697,0.0012404504504477387,0.8243243243243243,4.336723243976382,41.344952939918144,41.62602111932418,37.008229695941765,0.8243243243243243,4.336744083565973,41.34372960157981,41.6260173918467,37.006985518013835,-0.001244177927929968,18:00_vs_12:00,month,2025-06
1147,9.343097951176981,29.227780906457514,-0.7886918047079343,1147,33.552711779716766,42.892194917170485,-0.4086339808223417,1147,9.343100159837254,29.22778358064908,-0.7886959895379257,1147,33.5527110822451,42.892193598522674,-0.40863467829400835,2.2086602733395466e-06,-4.184829991427108e-06,-6.974716697527583e-07,-6.974716666441338e-07,0.8064516129032258,6.0074045576427935,40.05971568668931,33.64367714822417,34.052311129046515,0.8064516129032258,6.007356485376978,40.05958000544355,33.643588841772555,34.05222352006657,-8.760897994619654e-05,18:00_vs_12:00,month,2025-07
1147,21.58996592560302,62.02747880507496,17.660167044463815,1147,28.0591280262865,35.46508216899644,-9.116350441478037,1147,21.58996592560302,62.02747880507496,17.660167044463815,1147,28.0591280262865,35.46508216899644,-9.116350441478037,0.0,0.0,0.0,0.0,0.7863993025283348,4.235507806336689,30.894758125141347,17.542899877326622,26.659250318804663,0.7863993025283348,4.235507806336689,30.894758125141347,17.542899877326622,26.659250318804663,0.0,18:00_vs_12:00,month,2025-08
1110,6.903242897897897,28.78753659648564,6.275086216216216,1110,42.676706391108404,56.122448291967345,-20.898128299949377,1110,6.903242897897897,28.78753659648564,6.275086216216216,1110,42.676706391108404,56.122448291967345,-20.898128299949377,0.0,0.0,0.0,0.0,0.7603603603603604,6.4966935857662715,44.16804172955236,16.773219843836706,37.67134814378609,0.7603603603603604,6.4966935857662715,44.16804172955236,16.773219843836706,37.67134814378609,0.0,18:00_vs_12:00,month,2025-09
1147,0.04678875326939842,0.38236577980263897,-0.04678875326939842,1147,22.025633602128643,28.292074740175206,-0.7354993229807636,1147,0.04678875326939842,0.38236577980263897,-0.04678875326939842,1147,22.025633602128643,28.292074740175206,-0.7354993229807636,0.0,0.0,0.0,0.0,0.7802964254577158,2.966424257673178,25.63612187414285,21.93419829348891,22.669697616469676,0.7802964254577158,2.966424257673178,25.63612187414285,21.93419829348891,22.669697616469676,0.0,18:00_vs_12:00,month,2025-10
1110,0.004268738738738739,0.030777860446978667,-0.004268738738738739,1110,17.91644309472728,22.2601263384488,7.659868271980779,1110,0.004268738738738739,0.030777860446978667,-0.004268738738738739,1110,17.91644309472728,22.2601263384488,7.659868271980779,0.0,0.0,0.0,0.0,0.8108108108108109,2.1315628966639246,21.00192375951344,26.530229134830293,18.870360862849516,0.8108108108108109,2.1315628966639246,21.00192375951344,26.530229134830293,18.870360862849516,0.0,18:00_vs_12:00,month,2025-11
1147,0.0008815170008718394,0.005103805612967716,-0.0008815170008718394,1147,18.685193840773238,22.968792346532354,0.1723717857940959,1147,0.0008815170008718394,0.005103805612967716,-0.0008815170008718394,1147,18.685193840773238,22.968792346532354,0.1723717857940959,0.0,0.0,0.0,0.0,0.8282476024411508,1.8858563675359108,25.183327311710812,23.469842729969002,23.2974709441749,0.8282476024411508,1.8858563675359108,25.183327311710812,23.469842729969002,23.2974709441749,0.0,18:00_vs_12:00,month,2025-12
